trajectory_id,vehicle_id,timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_distance,trip_duration_min,speed_mph,time_of_day,day_of_week,weather,temperature_f,traffic_level
traj_00000,vehicle_043,2024-07-06 11:16:00,40.74880756780402,-73.978144792499,40.75379624340165,-73.98980774658006,0.86,15,28.163308712494146,Morning,Weekend,Cloudy,55.92489403301016,High
traj_00001,vehicle_059,2024-12-23 00:15:00,40.79261919332644,-73.97369887785122,40.89181399162277,-73.89885190869568,8.68,22,22.36044510192923,Night,Weekday,Clear,46.546962849795264,Medium
traj_00002,vehicle_081,2024-06-27 16:22:00,40.75134226504972,-73.99697196854338,40.770773527458054,-73.95675740377928,3.42,48,31.16500883181384,Afternoon,Weekday,Cloudy,33.93841084212583,Low
traj_00003,vehicle_052,2024-12-05 11:43:00,40.74094958073992,-74.00489345324935,40.75206527104506,-73.97844047427066,2.5,7,15.89924919100562,Morning,Weekday,Rainy,35.765952975317006,Low
traj_00004,vehicle_097,2024-09-24 18:05:00,40.763512453570506,-73.96867035844062,40.76056829982787,-73.96021409002711,0.44,39,34.37906060750886,Evening,Weekday,Rainy,42.7898103197456,Low
traj_00005,vehicle_061,2024-11-15 09:16:00,40.75848760921402,-73.99080675167542,40.76501113637949,-73.97391687900193,1.21,42,13.032393967025678,Morning,Weekday,Clear,64.47780382110555,Medium
traj_00006,vehicle_081,2024-07-22 21:17:00,40.80346956876404,-73.94031965009371,40.807570440372956,-73.96120506199324,1.83,59,31.308669411329685,Night,Weekday,Cloudy,69.373774220581,Low
traj_00007,vehicle_024,2024-10-17 05:55:00,-0.001133821535177243,0.0012772356738109552,-0.0009301527121067314,0.0005747651763954618,5.8,27,11.915734590939833,Morning,Weekday,Clear,32.77239526694416,High
traj_00008,vehicle_077,2024-03-24 04:14:00,40.71944664598917,-74.00514890331732,40.76757140831237,-73.98358824828651,3.8,6,20.38333690960578,Night,Weekend,Clear,51.880596253330154,Medium
traj_00009,vehicle_059,2024-11-13 03:57:00,40.725859649225406,-73.9915268690999,40.708309391406715,-74.01142951215661,1.9,49,20.255453875955343,Night,Weekday,Cloudy,63.64465099652326,Medium
traj_00010,vehicle_046,2024-10-10 15:50:00,40.72943857626586,-73.9949923840005,40.721658618257464,-73.9964319237103,0.57,15,38.335688469282104,Afternoon,Weekday,Clear,67.79329528612136,Medium
traj_00011,vehicle_045,2024-07-09 15:11:00,40.7637669642173,-73.96271997466177,40.74483859181681,-73.97644560371546,1.6,50,10.354512333955125,Afternoon,Weekday,Clear,83.24627951984307,Low
traj_00012,vehicle_098,2024-04-10 02:13:00,40.733374596591034,-73.99846948074259,40.77715720213391,-73.95511514964262,4.41,51,17.508153423385142,Night,Weekday,Clear,78.55672178153398,Medium
traj_00013,vehicle_090,2024-03-11 14:20:00,40.751838847937286,-73.99047145733691,40.7562884382988,-74.00267254905502,0.6,45,23.73774513157292,Afternoon,Weekday,Clear,62.72551821436735,High
traj_00014,vehicle_006,2024-10-01 06:38:00,40.776190254917644,-73.87059780262534,40.773668846093976,-73.75344224468768,11.6,39,12.485954931982205,Morning,Weekday,Clear,57.60663603017095,Low
traj_00015,vehicle_076,2024-04-13 21:13:00,40.72932485284366,-73.98924322200362,40.73930532664874,-73.78123763109438,13.5,22,13.419289815087637,Night,Weekend,Cloudy,52.60720857695468,Low
traj_00016,vehicle_038,2024-01-25 01:26:00,40.76051422299314,-73.97916917643641,40.74951389343766,-73.97801693670566,1.26,51,29.842156913232724,Night,Weekday,Rainy,49.391928488768,Low
traj_00017,vehicle_047,2024-05-20 01:32:00,40.73951536176401,-74.00124625222523,40.7273235574303,-73.99645535220766,1.29,33,30.764501211105653,Night,Weekday,Cloudy,48.32357401634504,Medium
traj_00018,vehicle_065,2024-12-13 03:43:00,40.75516502922308,-73.97139534846465,40.74457517943608,-73.9780957550486,0.78,38,32.04508446836983,Night,Weekday,Rainy,50.631077378860624,Medium
traj_00019,vehicle_095,2024-02-28 19:04:00,40.72924723969862,-73.99169355121226,40.71969664855143,-74.00666590904002,1.36,20,26.70234284537248,Evening,Weekday,Clear,54.877672712248646,Medium
traj_00020,vehicle_035,2024-01-11 11:26:00,40.7736689176603,-73.98146443974392,40.73379641107575,-73.98524200839181,3.92,16,14.586514496317061,Morning,Weekday,Clear,56.822104401162036,High
traj_00021,vehicle_002,2024-08-23 03:27:00,40.643850358588764,-73.78093119932714,40.71245004378089,-73.95337736759426,16.38,25,33.02861393317841,Night,Weekday,Cloudy,44.08060984185802,Low
traj_00022,vehicle_073,2024-02-11 13:24:00,40.7250534558649,-73.99375425092772,40.78085055252383,-73.98163410090064,5.16,12,11.270259031065553,Afternoon,Weekend,Clear,53.59744091074297,Low
traj_00023,vehicle_088,2024-02-26 06:04:00,40.644568472934125,-73.7823964634801,40.75199285470091,-73.99713095653725,17.99,51,19.077062977001777,Morning,Weekday,Clear,68.32032517939575,High
traj_00024,vehicle_019,2024-02-28 11:02:00,40.753208794070105,-73.98034787612032,40.731532816545005,-73.99093684188045,3.06,13,30.345590143816743,Morning,Weekday,Clear,66.8812079398696,Medium
traj_00025,vehicle_077,2024-07-11 23:52:00,40.75030176965769,-73.99445927879556,40.73694335254813,-73.98878921825109,1.33,48,24.198953722102885,Night,Weekday,Rainy,77.52776836262892,Medium
traj_00026,vehicle_088,2024-07-07 21:15:00,40.760162995640904,-73.97289360247265,40.79111060047715,-73.97362551067638,2.64,48,22.168737314054482,Night,Weekend,Clear,49.969115457071965,High
traj_00027,vehicle_001,2024-06-03 05:03:00,40.75917222867973,-73.99141078621379,40.79739754437203,-73.9692855039058,3.51,31,19.482099938264703,Morning,Weekday,Cloudy,49.13008558607792,Medium
traj_00028,vehicle_031,2024-11-16 07:12:00,40.723232626072274,-73.98247934021538,40.671432727915125,-73.97329971808415,5.04,59,34.68354371037877,Morning,Weekend,Cloudy,42.89837837094491,Medium
traj_00029,vehicle_023,2024-01-20 17:45:00,40.72803571422176,-73.99459726669987,40.73815919958743,-73.9944975133504,1.1,26,32.751245182826366,Evening,Weekend,Rainy,61.883739450881386,Medium
traj_00030,vehicle_024,2024-06-19 20:17:00,40.73538830251014,-73.99239214647402,40.75535223300384,-73.97314943788801,2.1,35,32.7179846104694,Evening,Weekday,Clear,47.06828650097763,High
traj_00031,vehicle_033,2024-07-18 13:39:00,40.74339166076782,-73.97559889358799,40.74578448493561,-73.97626969945642,1.93,50,24.159725661211787,Afternoon,Weekday,Cloudy,43.39356108295167,Low
traj_00032,vehicle_033,2024-12-02 05:22:00,40.75286412882228,-73.97986013668731,40.757072991045874,-73.9707215805146,0.89,25,39.986882984203206,Morning,Weekday,Cloudy,50.26524941407114,Medium
traj_00033,vehicle_084,2024-11-09 08:03:00,40.75509543725807,-73.96992452701792,40.784311820875544,-73.95161414429401,2.45,56,21.652400739145296,Morning,Weekend,Clear,56.64621452951355,Medium
traj_00034,vehicle_061,2024-09-07 19:17:00,40.68596874103083,-73.95306456676508,40.68160777793905,-73.94389796347603,1.02,31,17.0629366570296,Evening,Weekend,Cloudy,48.66261391218091,High
traj_00035,vehicle_047,2024-06-08 09:36:00,40.739910764645835,-74.0098341307459,40.69163432107186,-73.9681462366436,4.9,44,22.12829485820483,Morning,Weekend,Clear,32.24907361888775,Low
traj_00036,vehicle_070,2024-04-20 13:31:00,40.75721167193281,-73.97536721804029,40.76242726739085,-73.99655296081541,1.5,58,10.144882411735002,Afternoon,Weekend,Rainy,55.86367547312178,Medium
traj_00037,vehicle_000,2024-11-03 23:56:00,40.76962005639467,-73.98668639420268,40.80662319278437,-73.96159096484405,3.11,5,27.496863348499755,Night,Weekend,Clear,35.74965003698739,Low
traj_00038,vehicle_048,2024-11-05 09:16:00,40.78191011140958,-73.98071111124824,40.75960785406526,-73.97456105280834,2.15,38,31.837254411283773,Morning,Weekday,Rainy,58.559610387183575,High
traj_00039,vehicle_012,2024-04-09 21:36:00,40.71891289707605,-73.98746880925071,40.71442081335134,-73.99103529132553,0.43,50,38.09230969347233,Night,Weekday,Clear,69.49897905754716,Medium
traj_00040,vehicle_098,2024-02-01 19:35:00,40.7614477750059,-73.96996278706796,40.750852296920606,-73.9911224653687,1.8,57,16.182202815792195,Evening,Weekday,Cloudy,105.89885860818495,Medium
traj_00041,vehicle_013,2024-08-18 07:26:00,40.749852137405206,-73.97187890641469,40.742973907945455,-74.00610017825998,2.57,49,34.899204079799134,Morning,Weekend,Cloudy,49.02666487565694,Low
traj_00042,vehicle_054,2024-06-28 07:47:00,40.74679225003655,-73.98538027511232,40.75481498528915,-73.98565966152265,0.87,8,39.61327373806537,Morning,Weekday,Clear,60.26668032298663,Low
traj_00043,vehicle_004,2024-12-28 18:35:00,40.769229844929335,-73.8631837655847,40.75860271274322,-73.96634869457344,9.37,25,12.537970601940767,Evening,Weekend,Clear,55.28033299278855,Medium
traj_00044,vehicle_090,2024-03-04 05:38:00,40.773657005757684,-73.98311101670517,40.7622250071967,-73.98639848750919,1.11,36,38.990110350683175,Morning,Weekday,Clear,45.672924177247786,Low
traj_00045,vehicle_068,2024-01-30 11:02:00,40.78655598514619,-73.97752555003848,40.848910647138375,-73.93870831825873,6.57,27,17.310788360228216,Morning,Weekday,Rainy,44.502207902873174,Medium
traj_00046,vehicle_070,2024-03-02 00:03:00,40.77668926067333,-73.94854797268898,40.738154942837255,-73.92579277665533,4.73,57,10.84111099701627,Night,Weekend,Clear,69.19644213969296,Low
traj_00047,vehicle_030,2024-08-27 18:22:00,40.762655146627374,-73.9936629990182,40.77191109374365,-73.99002039020937,0.91,48,37.58343136322243,Evening,Weekday,Clear,65.90647069710096,Medium
traj_00048,vehicle_074,2024-01-27 13:10:00,0.00022015950658758687,-0.0018016271695594581,40.740746625966544,-73.99405830441371,0.5,36,21.732143903475837,Afternoon,Weekend,Clear,70.21712514633623,Low
traj_00049,vehicle_029,2024-03-19 06:21:00,40.73537433208309,-73.99205096166607,40.74220889393496,-73.9125772045244,7.9,32,23.593460824221733,Morning,Weekday,Rainy,78.647459367929,Low
