poi_id,name,category,latitude,longitude,rating,popularity,average_visit_duration_min,price_level,open_hour,close_hour
POI_0000,School_0,School,40.77965429868602,-74.00349086891204,4.559382000545538,90.84469696321253,136,3,8,22
POI_0001,Scenic Spot_1,Scenic Spot,40.75729539308617,-73.97324376960944,4.301776945897705,5.806520264207262,102,4,6,24
POI_0002,Train Station_2,Train Station,40.761748150962774,-73.96495121555606,3.014132610439435,2.333252359832339,73,3,6,24
POI_0003,Supermarket_3,Supermarket,40.72327713404303,-74.01184542089204,4.236772018666175,48.201465977050354,78,1,8,18
POI_0004,Library_4,Library,40.768030753858774,-73.97945506732275,3.026529922319733,285.0796878935603,28,2,6,18
POI_0005,Train Station_5,Train Station,40.723089382562215,-73.99830770805765,4.366527037650917,94.15999701070139,22,3,8,20
POI_0006,Cinema_6,Cinema,40.72587799816,-73.96037299440815,3.623422152178822,73.41108959092286,120,4,10,22
POI_0007,Theater_7,Theater,40.77751328233611,-73.93544509525923,4.789654700855298,91.1054412383275,62,3,9,18
POI_0008,Office_8,Office,40.78445338486781,-73.95274119008764,4.0793842647781595,88.37053630081473,138,1,0,18
POI_0009,Pharmacy_9,Pharmacy,40.7165266939063,-74.01859272339328,3.846802961412739,50.23310023986688,150,4,8,22
POI_0010,Cinema_10,Cinema,40.77113419527486,-73.9488842013522,4.211919949562023,260.7764399984743,55,4,0,24
POI_0011,Parking_11,Parking,40.73308980248527,-74.01427974847425,3.6219646434313244,39.331421318413135,113,4,8,22
POI_0012,Restaurant_12,Restaurant,40.75490267835955,-73.98621678431238,4.697827648532168,127.91616928460479,156,3,8,18
POI_0013,Pharmacy_13,Pharmacy,40.74275410183586,-74.01771227859302,3.215782853986609,3.1933681293053824,66,1,9,20
POI_0014,Museum_14,Museum,40.72492922291489,-73.98306553692679,4.511102277086097,25.980515691739402,174,3,8,22
POI_0015,Bus Stop_15,Bus Stop,40.78804678390152,-73.96380813566796,3.591267371675428,11.148395887147208,42,4,9,24
POI_0016,Airport_16,Airport,40.789255899848996,-73.97145919822759,4.614880310328125,226.42426492862313,143,1,8,20
POI_0017,Beach_17,Beach,40.78092240554129,-73.95977889455641,3.0139042610623816,71.48761593385558,151,2,10,18
POI_0018,Library_18,Library,40.726941233379854,-73.9980287029977,3.336582084345861,24.687827915069686,127,2,0,20
POI_0019,Airport_19,Airport,40.72468760628386,-73.95733261544443,4.424541179848884,16.027078782001993,95,3,0,20
POI_0020,Shopping_20,Shopping,40.74337350965161,-73.98626247627772,3.690142496053366,100.60823648361776,140,2,10,24
POI_0021,Hospital_21,Hospital,40.72420552715115,-73.95950780073348,4.523239230657435,27.133317233580577,52,4,10,24
POI_0022,Shopping_22,Shopping,40.758802856407,-73.95214316561285,3.1805795401088166,180.3644794246297,138,3,10,22
POI_0023,Airport_23,Airport,40.73259589052019,-74.0001783057191,4.422299064876036,165.81085759775226,162,4,9,18
POI_0024,Restaurant_24,Restaurant,40.75642019261484,-74.02,4.6754202118146555,112.60557913853866,165,3,6,22
POI_0025,School_25,School,40.765998404603415,-73.9464500019819,4.110401623198925,75.42794101939461,16,1,9,18
POI_0026,Museum_26,Museum,40.78826363431893,-74.00301636024928,3.5577427051843635,120.51662828140456,145,4,0,24
POI_0027,Airport_27,Airport,40.70841399649951,-74.00545341573148,4.797108377054158,93.24939469655895,126,2,0,22
POI_0028,Beach_28,Beach,40.8,-73.95552334158177,4.3039225190052015,25.39498673080245,175,4,0,20
POI_0029,Train Station_29,Train Station,40.71788227092213,-73.98701780938754,4.488341046113124,127.63281950787429,142,1,9,22
POI_0030,Library_30,Library,40.76363326181859,-73.9974584363255,4.179741695121088,385.81438253895743,65,2,8,22
POI_0031,Shopping_31,Shopping,40.76950517721995,-74.00515285646101,4.3378481193262,199.63332490174824,75,4,8,24
POI_0032,Entertainment_32,Entertainment,40.77685540143063,-74.0160756605421,4.989101021594682,63.47735873325197,60,1,8,24
POI_0033,Gym_33,Gym,40.795307184702395,-73.99023247257965,4.105529933670979,84.9315656167179,130,3,10,18
POI_0034,Charging Station_34,Charging Station,40.726847485689014,-73.97632481131514,3.7453737341880986,50.201697872718476,68,2,8,24
POI_0035,Bank_35,Bank,40.709717649377076,-73.96464934959708,4.980107700208526,15.092058664226416,169,2,6,20
POI_0036,Cinema_36,Cinema,40.78486697949246,-74.00770408017021,4.417821993820237,80.47940292211136,40,3,6,18
POI_0037,Scenic Spot_37,Scenic Spot,40.775478636289314,-73.94756172022376,4.003032589374399,160.09499323084876,79,4,9,22
POI_0038,Charging Station_38,Charging Station,40.702761677187375,-73.96790215940432,3.876948246036174,111.48213545507221,65,1,6,22
POI_0039,Bus Stop_39,Bus Stop,40.7590833260569,-74.01725497750549,3.074696377498429,172.93513695381358,68,3,9,18
POI_0040,Restaurant_40,Restaurant,40.7418807183754,-73.97334765493362,4.93050366078154,61.113440541581475,20,1,9,20
POI_0041,Pharmacy_41,Pharmacy,40.76995122107672,-74.0075482216824,3.2654908444859396,349.12380843470464,120,2,8,18
POI_0042,Scenic Spot_42,Scenic Spot,40.766110025115616,-73.99838264718181,3.1569127626845317,2.5677609541474378,131,2,0,24
POI_0043,Train Station_43,Train Station,40.705819359550844,-73.93763076451363,3.884704459462209,27.415709425348172,132,4,0,24
POI_0044,Hotel_44,Hotel,40.727993389694596,-73.93406212474032,4.475793833391537,80.82304819313313,36,1,8,24
POI_0045,Supermarket_45,Supermarket,40.71586464476425,-74.00918518169749,3.6837593334328034,9.628963170556041,61,1,9,18
POI_0046,Parking_46,Parking,40.70171611018318,-73.95129720192965,4.613825954101559,42.51133585878413,115,3,6,20
POI_0047,Bus Stop_47,Bus Stop,40.76350936508676,-74.01592263912052,3.7492252292529424,98.31249947827285,110,1,10,18
POI_0048,Park_48,Park,40.78635536735515,-73.96203636537243,4.888503194250335,201.89030115127386,174,3,9,24
POI_0049,Parking_49,Parking,40.738816992620656,-73.9621040603402,3.9165057809830333,78.88143605763202,115,4,8,18
POI_0050,Restaurant_50,Restaurant,40.73282577219893,-73.97613025824607,3.5479222546422675,24.154828374902078,60,2,10,22
POI_0051,Theater_51,Theater,40.768300677341635,-74.01359302163857,3.6379512605875224,186.3526040097277,104,2,6,22
POI_0052,Gym_52,Gym,40.74960374542934,-73.95763986771773,3.696673208906395,275.9051199092104,134,4,0,18
POI_0053,Beach_53,Beach,40.73066477891034,-73.9372086732277,4.137040567499916,85.78439510282166,113,4,9,20
POI_0054,Cinema_54,Cinema,40.7776412960742,-73.98932768137723,4.86151465120713,195.48391571662492,127,3,10,22
POI_0055,Beach_55,Beach,40.76246284260924,-73.99184014608107,4.068654947061127,68.62931048605623,100,1,8,22
POI_0056,Cinema_56,Cinema,40.70534852967474,-73.93373126528051,4.694286288191179,43.83579814578953,42,2,9,22
POI_0057,Pharmacy_57,Pharmacy,40.70832844111953,-74.01174662674673,4.204881851802238,80.67707465945907,67,3,0,22
POI_0058,Hotel_58,Hotel,40.793092910568724,-73.9323176612319,4.9918624840606585,5.749263346112221,177,3,10,22
POI_0059,Gas Station_59,Gas Station,40.71170670164276,-74.00713074861524,4.523021263434945,96.2905679748035,21,2,10,24
POI_0060,Cafe_60,Cafe,40.76329302949194,-73.98850554768971,3.293209643384051,72.0161131191284,97,4,10,18
POI_0061,Bus Stop_61,Bus Stop,40.78127995672575,-73.93474762803545,4.972002127645742,139.98992301163418,84,4,8,18
POI_0062,Parking_62,Parking,40.75584042497358,-73.98182001916777,4.812708770189472,11.788020797188024,155,2,9,20
POI_0063,Airport_63,Airport,40.71188179162681,-74.00942263779005,4.298420604232128,137.05977175964728,106,2,0,22
POI_0064,Cinema_64,Cinema,40.70828913216934,-73.97244668908326,3.872671663213112,162.0040163325974,174,1,10,22
