vehicle_id,num_trips,num_listens,avg_trip_distance,favorite_pois,favorite_genres,data_quality,computational_capacity,privacy_sensitivity
vehicle_000,53,106,2.443584905660378,"POI_0873,POI_0871,POI_0627,POI_0412,POI_0163,POI_0590,POI_0240,POI_0293,POI_0372,POI_0547,POI_0214,POI_0732,POI_0174,POI_0502","Country,Techno,Punk",0.6637949721269736,Medium,0.8739051580116126
vehicle_001,52,84,2.457307692307692,"POI_0518,POI_0396,POI_0067,POI_0948,POI_0996,POI_0451,POI_0936,POI_0091,POI_0589,POI_0309,POI_0258,POI_0491,POI_0528,POI_0384","Soul,Country",0.9595236390390343,Medium,0.4819029758622484
vehicle_002,44,85,3.595,"POI_0969,POI_0605,POI_0092,POI_0212,POI_0129,POI_0106,POI_0064,POI_0173,POI_0315,POI_0588,POI_0743,POI_0993","Latin,Techno,Alternative",0.6142627827820869,High,0.5216738219324897
vehicle_003,39,86,2.3112820512820513,"POI_0970,POI_0073,POI_0507,POI_0454,POI_0679,POI_0191,POI_0071,POI_0189,POI_0651,POI_0875,POI_0447","Reggae,Indie,Hip Hop,Latin,Blues",0.7813337639581939,High,0.6293149037790846
vehicle_004,56,99,2.6374999999999997,"POI_0518,POI_0422,POI_0854,POI_0090,POI_0372,POI_0797,POI_0479,POI_0832,POI_0935,POI_0566,POI_0144,POI_0040,POI_0530,POI_0770,POI_0327,POI_0765","Jazz,Disco,House",0.7969870578436227,High,0.6477958898082115
vehicle_005,56,84,3.1401785714285713,"POI_0399,POI_0950,POI_0106,POI_0833,POI_0616,POI_0368,POI_0107","House,Techno,Latin,Classical,Alternative",0.9172393242846658,Medium,0.5974808228021851
vehicle_006,62,85,2.879193548387097,"POI_0695,POI_0613,POI_0065,POI_0482,POI_0231,POI_0614,POI_0773,POI_0807,POI_0676,POI_0576,POI_0181","Classical,Indie,House,Pop",0.743292949262459,Medium,0.33677013118999766
vehicle_007,44,104,3.3847727272727273,"POI_0295,POI_0434,POI_0968,POI_0636,POI_0765,POI_0166,POI_0606","Blues,Alternative,Folk",0.7063828175242575,Medium,0.5741374399308776
vehicle_008,50,108,3.0092000000000003,"POI_0466,POI_0560,POI_0476,POI_0242,POI_0499,POI_0671,POI_0379,POI_0814,POI_0925,POI_0702,POI_0780,POI_0983,POI_0246,POI_0991","Electronic,Folk,Punk,Alternative,Reggae",0.858772740929199,High,0.9006643439337789
vehicle_009,43,99,2.445581395348837,"POI_0032,POI_0637,POI_0863,POI_0152,POI_0713,POI_0682,POI_0687,POI_0588,POI_0077,POI_0804,POI_0163,POI_0780,POI_0698,POI_0898,POI_0865,POI_0034,POI_0287,POI_0635,POI_0020","Disco,Classical,Rock,Jazz",0.6217890495166588,Medium,0.38589453896066706
vehicle_010,51,95,2.6886274509803916,"POI_0025,POI_0829,POI_0934,POI_0847,POI_0061,POI_0012,POI_0118,POI_0275,POI_0223,POI_0952,POI_0884,POI_0833,POI_0267,POI_0089,POI_0593,POI_0281,POI_0938","Techno,Soul,Hip Hop",0.8213989521765755,Medium,0.5884024093759991
vehicle_011,39,84,2.99051282051282,"POI_0715,POI_0529,POI_0761,POI_0650,POI_0791,POI_0296,POI_0084,POI_0278,POI_0913,POI_0298,POI_0684,POI_0068,POI_0741","Punk,Pop",0.6411964516847757,Medium,0.4610022672928662
vehicle_012,57,112,3.179122807017544,"POI_0818,POI_0575,POI_0875,POI_0302,POI_0958","Jazz,Electronic,Soul",0.6007424336342285,Low,0.7812897364452362
vehicle_013,63,108,2.726666666666666,"POI_0641,POI_0781,POI_0401,POI_0190,POI_0767,POI_0015,POI_0977","Country,Blues,Rock,Reggae,Indie",0.6964710513172117,Low,0.3289140316402342
vehicle_014,53,101,2.130377358490566,"POI_0003,POI_0615,POI_0347,POI_0926,POI_0081,POI_0705,POI_0393,POI_0816,POI_0510,POI_0543,POI_0784,POI_0512,POI_0394,POI_0552","Rock,House",0.7358892223340763,Medium,0.72301262951185
vehicle_015,50,93,2.3533999999999997,"POI_0332,POI_0326,POI_0147,POI_0212,POI_0914,POI_0835,POI_0207,POI_0148,POI_0560,POI_0669,POI_0336,POI_0018,POI_0478,POI_0014,POI_0938,POI_0121,POI_0948","Pop,Classical,Techno",0.6264966264809516,High,0.5345733961899947
vehicle_016,49,97,3.078163265306122,"POI_0092,POI_0645,POI_0833,POI_0934,POI_0950,POI_0049,POI_0432,POI_0532,POI_0149,POI_0775,POI_0637","House,Hip Hop,Classical,Jazz",0.7649148062042743,High,0.8610866124750769
vehicle_017,46,111,2.9673913043478253,"POI_0601,POI_0825,POI_0098,POI_0060,POI_0524,POI_0520","Techno,Soul,Electronic,Jazz",0.6143514679762453,Medium,0.6203784828121142
vehicle_018,52,113,3.096538461538462,"POI_0446,POI_0687,POI_0954,POI_0235,POI_0780,POI_0152,POI_0208,POI_0296,POI_0285,POI_0615,POI_0161,POI_0903,POI_0393,POI_0693,POI_0550,POI_0647,POI_0438","Soul,R&B,Metal,Reggae,Hip Hop",0.6141834610894129,Medium,0.5756709745298717
vehicle_019,56,99,3.486964285714286,"POI_0378,POI_0524,POI_0261,POI_0425,POI_0170","Classical,Pop,Blues,Hip Hop,Disco",0.7917264024116545,High,0.9577036456994936
vehicle_020,53,106,2.9292452830188678,"POI_0750,POI_0653,POI_0032,POI_0786,POI_0373,POI_0868,POI_0361,POI_0931,POI_0497,POI_0887,POI_0261,POI_0520,POI_0797","House,Latin,Disco",0.8476876328779832,Medium,0.5023813461126683
vehicle_021,57,108,2.642105263157895,"POI_0283,POI_0483,POI_0477,POI_0169,POI_0952,POI_0487,POI_0280,POI_0763,POI_0893,POI_0033","Disco,Reggae,Techno,Rock",0.8353037970063317,Medium,0.35754781099448907
vehicle_022,43,101,1.5676744186046512,"POI_0340,POI_0272,POI_0987,POI_0244,POI_0415,POI_0997,POI_0069,POI_0819,POI_0547,POI_0071","Reggae,Latin,House",0.7662664932429322,Medium,0.9090514258838456
vehicle_023,50,105,2.4654,"POI_0219,POI_0069,POI_0460,POI_0883,POI_0645,POI_0186,POI_0789,POI_0313,POI_0144,POI_0432,POI_0659,POI_0707,POI_0950,POI_0697,POI_0849","Reggae,Rock",0.8934508416790223,Low,0.9293961211765822
vehicle_024,49,97,2.4810204081632654,"POI_0725,POI_0509,POI_0600,POI_0085,POI_0654,POI_0878,POI_0576,POI_0456,POI_0407,POI_0056,POI_0931,POI_0515,POI_0595,POI_0740,POI_0443","Blues,Techno,Reggae",0.8474628502423064,Low,0.8941434291308039
vehicle_025,61,91,2.6621311475409835,"POI_0629,POI_0759,POI_0620,POI_0019,POI_0693,POI_0941,POI_0343,POI_0396,POI_0985,POI_0899,POI_0470,POI_0360","R&B,Country,Hip Hop,Jazz,Reggae",0.9316784553926855,Medium,0.9364705367121622
vehicle_026,55,85,2.2392727272727275,"POI_0785,POI_0775,POI_0555,POI_0765,POI_0797,POI_0939,POI_0706,POI_0114,POI_0238,POI_0198,POI_0470,POI_0017,POI_0619,POI_0513,POI_0239,POI_0024,POI_0769","Electronic,House,Hip Hop,Rock",0.6379544003675038,Medium,0.9089825423410116
vehicle_027,38,118,2.410526315789474,"POI_0826,POI_0030,POI_0334,POI_0770,POI_0797,POI_0607,POI_0595,POI_0174,POI_0568,POI_0041,POI_0196,POI_0964,POI_0252,POI_0177,POI_0262,POI_0126","Punk,Soul,Latin",0.7919333394917681,Medium,0.6403937844590382
vehicle_028,41,95,2.478780487804878,"POI_0668,POI_0124,POI_0471,POI_0164,POI_0257,POI_0966,POI_0806,POI_0814,POI_0674","Soul,Latin,House,Country,Jazz",0.7882636375218552,Low,0.5217820795493622
vehicle_029,55,104,2.869272727272728,"POI_0403,POI_0482,POI_0461,POI_0825,POI_0936","Pop,Disco,Soul",0.7787438892341437,Medium,0.7517510645470713
vehicle_030,48,108,2.9335416666666667,"POI_0008,POI_0126,POI_0754,POI_0218,POI_0186,POI_0630,POI_0953,POI_0633,POI_0100,POI_0205","Reggae,Hip Hop,Indie,Pop,House",0.7620745594536339,Medium,0.9862197965369364
vehicle_031,44,98,2.270681818181818,"POI_0710,POI_0603,POI_0146,POI_0671,POI_0717,POI_0450,POI_0155,POI_0436","Indie,Pop",0.6449674041710571,Medium,0.7661240560580702
vehicle_032,37,121,2.63972972972973,"POI_0094,POI_0888,POI_0155,POI_0011,POI_0274,POI_0830,POI_0301,POI_0205,POI_0993,POI_0545,POI_0590,POI_0068,POI_0026","Folk,Punk,Country,Techno,Hip Hop",0.9364348333194161,Medium,0.37685993865256306
